,POS_LATITUD,POS_LONGITUD,POS_FECHAHORA
7102,"41,487","2,06192",2015-04-16 13:41:17.000
7139,"41,48659","2,05976",2015-04-16 13:40:58.000
7143,"41,48662","2,05959",2015-04-16 13:40:56.000
7171,"41,48643","2,05746",2015-04-16 13:40:38.000
7209,"41,48504","2,05512",2015-04-16 13:40:17.000
7225,"41,48475","2,0545",2015-04-16 13:40:10.000
7237,"41,48401","2,05329",2015-04-16 13:39:57.000
7267,"41,48303","2,05198",2015-04-16 13:39:38.000
7313,"41,48191","2,05124",2015-04-16 13:39:17.000
7327,"41,48144","2,05109",2015-04-16 13:39:11.000
7346,"41,48179","2,0501",2015-04-16 13:38:59.000
7347,"41,48191","2,04999",2015-04-16 13:38:57.000
7368,"41,48238","2,04862",2015-04-16 13:38:44.000
7376,"41,48202","2,04816",2015-04-16 13:38:37.000
7416,"41,4797","2,04635",2015-04-16 13:38:17.000
7461,"41,47716","2,04375",2015-04-16 13:37:57.000
7496,"41,47508","2,04068",2015-04-16 13:37:36.000
7524,"41,47342","2,03846",2015-04-16 13:37:18.000
7530,"41,47326","2,03838",2015-04-16 13:37:16.000
7536,"41,47299","2,03854",2015-04-16 13:37:12.000
7547,"41,47316","2,0394",2015-04-16 13:37:03.000
7560,"41,47309","2,03984",2015-04-16 13:36:58.000
7562,"41,47307","2,03998",2015-04-16 13:36:56.000
7598,"41,47332","2,04146",2015-04-16 13:36:35.000
7609,"41,47343","2,04187",2015-04-16 13:36:29.000
7642,"41,47299","2,04166",2015-04-16 13:36:15.000
7673,"41,47156","2,04155",2015-04-16 13:35:55.000
7706,"41,47006","2,04218",2015-04-16 13:35:35.000
7714,"41,46997","2,0426",2015-04-16 13:35:29.000
7731,"41,4708","2,0435",2015-04-16 13:35:14.000
7769,"41,47201","2,04458",2015-04-16 13:34:54.000
7772,"41,47214","2,04462",2015-04-16 13:34:52.000
7778,"41,47214","2,04496",2015-04-16 13:34:47.000
7785,"41,47183","2,04491",2015-04-16 13:34:42.000
7800,"41,47129","2,04512",2015-04-16 13:34:34.000
7828,"41,46993","2,04599",2015-04-16 13:34:14.000
7849,"41,46937","2,04646",2015-04-16 13:34:02.000
7858,"41,4691","2,04652",2015-04-16 13:33:56.000
7863,"41,46895","2,04657",2015-04-16 13:33:53.000
7891,"41,4683","2,04706",2015-04-16 13:33:40.000
7903,"41,46842","2,04758",2015-04-16 13:33:33.000
7938,"41,46871","2,04919",2015-04-16 13:33:14.000
7976,"41,4687","2,05099",2015-04-16 13:32:54.000
8000,"41,46868","2,05303",2015-04-16 13:32:34.000
8041,"41,46863","2,05508",2015-04-16 13:32:13.000
8076,"41,4686","2,05713",2015-04-16 13:31:54.000
8113,"41,46865","2,0585",2015-04-16 13:31:34.000
8145,"41,46873","2,06018",2015-04-16 13:31:14.000
8159,"41,46895","2,0608",2015-04-16 13:31:05.000
8175,"41,46855","2,06086",2015-04-16 13:30:53.000
8203,"41,46738","2,06154",2015-04-16 13:30:33.000
8213,"41,46718","2,06154",2015-04-16 13:30:28.000
8238,"41,46618","2,06205",2015-04-16 13:30:13.000
8245,"41,46603","2,06212",2015-04-16 13:30:10.000
8268,"41,46613","2,06285",2015-04-16 13:29:54.000
8296,"41,46641","2,06502",2015-04-16 13:29:33.000
8316,"41,46644","2,0659",2015-04-16 13:29:24.000
8335,"41,46666","2,06638",2015-04-16 13:29:13.000
8375,"41,46791","2,06626",2015-04-16 13:28:53.000
8382,"41,46809","2,06621",2015-04-16 13:28:47.000
8406,"41,46805","2,0652",2015-04-16 13:28:33.000
8407,"41,46804","2,06515",2015-04-16 13:28:32.000
8433,"41,46768","2,06497",2015-04-16 13:28:13.000
8467,"41,4665","2,06449",2015-04-16 13:27:53.000
8495,"41,46647","2,06622",2015-04-16 13:27:33.000
8526,"41,46659","2,06821",2015-04-16 13:27:13.000
8550,"41,46668","2,07035",2015-04-16 13:26:55.000
8551,"41,46656","2,07049",2015-04-16 13:26:53.000
8557,"41,46624","2,07041",2015-04-16 13:26:49.000
8588,"41,46457","2,07037",2015-04-16 13:26:33.000
8591,"41,46434","2,07037",2015-04-16 13:26:31.000
8599,"41,46321","2,06827",2015-04-16 13:26:13.000
8600,"41,46262","2,06693",2015-04-16 13:26:03.000
8601,"41,4615","2,06641",2015-04-16 13:25:53.000
8602,"41,45925","2,06598",2015-04-16 13:25:33.000
8603,"41,45785","2,06573",2015-04-16 13:25:14.000
8606,"41,45784","2,06567",2015-04-16 13:25:13.000
8607,"41,45793","2,06545",2015-04-16 13:25:09.000
8608,"41,458","2,06442",2015-04-16 13:24:53.000
8609,"41,45803","2,0634",2015-04-16 13:24:32.000
8610,"41,45833","2,06112",2015-04-16 13:24:13.000
8611,"41,45898","2,05843",2015-04-16 13:23:52.000
8612,"41,45967","2,05577",2015-04-16 13:23:32.000
8613,"41,4601","2,05378",2015-04-16 13:23:13.000
8614,"41,46006","2,0521",2015-04-16 13:23:00.000
8619,"41,45957","2,05125",2015-04-16 13:22:52.000
8620,"41,45835","2,04928",2015-04-16 13:22:33.000
8621,"41,45761","2,04823",2015-04-16 13:22:18.000
8623,"41,45756","2,04793",2015-04-16 13:22:12.000
8624,"41,45735","2,04615",2015-04-16 13:21:53.000
8625,"41,45721","2,04409",2015-04-16 13:21:32.000
8626,"41,45684","2,04256",2015-04-16 13:21:13.000
8627,"41,45623","2,04149",2015-04-16 13:21:01.000
8628,"41,45583","2,04147",2015-04-16 13:20:52.000
8629,"41,4556","2,04148",2015-04-16 13:20:48.000
8640,"41,45592","2,04215",2015-04-16 13:20:33.000
8642,"41,45613","2,04264",2015-04-16 13:20:24.000
8643,"41,45675","2,04257",2015-04-16 13:20:13.000
8644,"41,45679","2,04254",2015-04-16 13:20:12.000
8645,"41,45596","2,04097",2015-04-16 13:19:52.000
8646,"41,45494","2,03921",2015-04-16 13:19:32.000
8647,"41,45475","2,03888",2015-04-16 13:19:28.000
8648,"41,45399","2,03884",2015-04-16 13:19:15.000
8651,"41,45393","2,03876",2015-04-16 13:19:13.000
8652,"41,45383","2,03673",2015-04-16 13:18:52.000
8653,"41,45369","2,03449",2015-04-16 13:18:32.000
8654,"41,45344","2,03305",2015-04-16 13:18:16.000
8656,"41,45358","2,03283",2015-04-16 13:18:12.000
8657,"41,45363","2,03279",2015-04-16 13:18:11.000
8658,"41,45437","2,03377",2015-04-16 13:17:52.000
8660,"41,45454","2,03569",2015-04-16 13:17:31.000
8661,"41,45462","2,03756",2015-04-16 13:17:11.000
8662,"41,45522","2,03966",2015-04-16 13:16:51.000
8664,"41,4562","2,04141",2015-04-16 13:16:31.000
8665,"41,45709","2,04297",2015-04-16 13:16:11.000
8666,"41,45721","2,04487",2015-04-16 13:15:50.000
8667,"41,45749","2,04736",2015-04-16 13:15:31.000
8668,"41,45817","2,04905",2015-04-16 13:15:10.000
8671,"41,45948","2,05111",2015-04-16 13:14:50.000
8672,"41,46015","2,05344",2015-04-16 13:14:29.000
9888,"41,45902","2,05827",2015-04-16 13:13:47.000
9948,"41,45837","2,06083",2015-04-16 13:13:27.000
9978,"41,45804","2,06325",2015-04-16 13:13:08.000
10010,"41,45798","2,06525",2015-04-16 13:12:47.000
10028,"41,45801","2,06576",2015-04-16 13:12:39.000
10045,"41,45744","2,0653",2015-04-16 13:12:27.000
10071,"41,45584","2,0642",2015-04-16 13:12:11.000
10086,"41,45541","2,06424",2015-04-16 13:12:07.000
10115,"41,45435","2,06504",2015-04-16 13:11:56.000
10116,"41,45366","2,06641",2015-04-16 13:11:46.000
10117,"41,45341","2,06768",2015-04-16 13:11:39.000
10118,"41,45239","2,07003",2015-04-16 13:11:25.000
10119,"41,45131","2,07219",2015-04-16 13:11:05.000
10221,"41,45017","2,07387",2015-04-16 13:10:46.000
10230,"41,45012","2,07394",2015-04-16 13:10:45.000
10254,"41,44851","2,07506",2015-04-16 13:10:24.000
10260,"41,44832","2,0751",2015-04-16 13:10:21.000
10271,"41,44818","2,07547",2015-04-16 13:10:15.000
10284,"41,44775","2,07565",2015-04-16 13:10:05.000
10322,"41,44639","2,07658",2015-04-16 13:09:45.000
10324,"41,44604","2,07666",2015-04-16 13:09:41.000
10352,"41,44511","2,07593",2015-04-16 13:09:25.000
10358,"41,44459","2,07537",2015-04-16 13:09:17.000
10379,"41,44426","2,07519",2015-04-16 13:09:08.000
10383,"41,44431","2,07513",2015-04-16 13:09:06.000
10417,"41,44549","2,0763",2015-04-16 13:08:45.000
10418,"41,44572","2,07653",2015-04-16 13:08:41.000
10420,"41,4467","2,07646",2015-04-16 13:08:26.000
10421,"41,44742","2,07581",2015-04-16 13:08:14.000
10422,"41,44796","2,07554",2015-04-16 13:08:05.000
10452,"41,44804","2,07558",2015-04-16 13:08:02.000
10494,"41,44801","2,0757",2015-04-16 13:07:54.000
