,POS_LATITUD,POS_LONGITUD,POS_FECHAHORA
15375,"41,47167","2,0968",2015-04-16 12:20:19.000
15383,"41,47148","2,09666",2015-04-16 12:20:16.000
15410,"41,47149","2,09641",2015-04-16 12:20:00.000
15439,"41,47192","2,09454",2015-04-16 12:19:40.000
15452,"41,47195","2,09362",2015-04-16 12:19:30.000
15464,"41,47188","2,09269",2015-04-16 12:19:20.000
15471,"41,47184","2,09237",2015-04-16 12:19:15.000
15506,"41,47142","2,09224",2015-04-16 12:19:00.000
15545,"41,47046","2,09236",2015-04-16 12:18:40.000
15573,"41,47032","2,09234",2015-04-16 12:18:20.000
15601,"41,47032","2,09234",2015-04-16 12:17:59.000
15637,"41,47032","2,09234",2015-04-16 12:17:38.000
15666,"41,47032","2,09234",2015-04-16 12:17:19.000
15695,"41,47032","2,09234",2015-04-16 12:16:59.000
15726,"41,47032","2,09234",2015-04-16 12:16:38.000
15767,"41,47032","2,09234",2015-04-16 12:16:18.000
15813,"41,47032","2,09234",2015-04-16 12:15:59.000
15848,"41,47032","2,09234",2015-04-16 12:15:38.000
15884,"41,47032","2,09234",2015-04-16 12:15:18.000
15911,"41,47032","2,09234",2015-04-16 12:14:58.000
15952,"41,47032","2,09234",2015-04-16 12:14:38.000
15967,"41,47018","2,09241",2015-04-16 12:14:27.000
15979,"41,47011","2,09321",2015-04-16 12:14:18.000
16010,"41,46973","2,09497",2015-04-16 12:13:57.000
16022,"41,46966","2,09565",2015-04-16 12:13:49.000
16030,"41,46935","2,09554",2015-04-16 12:13:43.000
16041,"41,46948","2,09523",2015-04-16 12:13:38.000
16053,"41,46974","2,09549",2015-04-16 12:13:32.000
16075,"41,4707","2,09623",2015-04-16 12:13:17.000
16103,"41,47228","2,0973",2015-04-16 12:12:57.000
16104,"41,47234","2,09735",2015-04-16 12:12:56.000
16136,"41,47356","2,09735",2015-04-16 12:12:37.000
16140,"41,47365","2,09724",2015-04-16 12:12:35.000
16169,"41,47462","2,09753",2015-04-16 12:12:18.000
16195,"41,47593","2,09792",2015-04-16 12:11:59.000
16198,"41,47595","2,09798",2015-04-16 12:11:58.000
16201,"41,47582","2,09815",2015-04-16 12:11:54.000
16207,"41,47564","2,09789",2015-04-16 12:11:49.000
16225,"41,47487","2,0976",2015-04-16 12:11:37.000
16254,"41,47377","2,09738",2015-04-16 12:11:19.000
16256,"41,47374","2,09734",2015-04-16 12:11:18.000
16283,"41,47365","2,09561",2015-04-16 12:10:57.000
16312,"41,47391","2,09412",2015-04-16 12:10:38.000
16326,"41,47396","2,09347",2015-04-16 12:10:29.000
16346,"41,47459","2,0942",2015-04-16 12:10:17.000
16381,"41,47615","2,09573",2015-04-16 12:09:56.000
16389,"41,47674","2,09613",2015-04-16 12:09:48.000
16405,"41,47734","2,0961",2015-04-16 12:09:36.000
16442,"41,47786","2,09548",2015-04-16 12:09:17.000
16488,"41,47949","2,09364",2015-04-16 12:08:56.000
16496,"41,48014","2,09325",2015-04-16 12:08:49.000
16510,"41,48091","2,0922",2015-04-16 12:08:37.000
16541,"41,48198","2,09012",2015-04-16 12:08:16.000
16576,"41,48277","2,08698",2015-04-16 12:07:56.000
16580,"41,48281","2,08664",2015-04-16 12:07:54.000
16596,"41,48231","2,08424",2015-04-16 12:07:37.000
16626,"41,48074","2,08102",2015-04-16 12:07:17.000
16628,"41,48067","2,08091",2015-04-16 12:07:16.000
16636,"41,48017","2,08055",2015-04-16 12:07:10.000
16654,"41,48028","2,07894",2015-04-16 12:06:57.000
16694,"41,48014","2,07484",2015-04-16 12:06:36.000
16725,"41,48005","2,07091",2015-04-16 12:06:16.000
16746,"41,4801","2,07002",2015-04-16 12:06:10.000
16757,"41,47983","2,06941",2015-04-16 12:06:03.000
16768,"41,47944","2,06928",2015-04-16 12:05:56.000
16801,"41,47803","2,06918",2015-04-16 12:05:39.000
16806,"41,47801","2,0689",2015-04-16 12:05:36.000
16812,"41,47816","2,06864",2015-04-16 12:05:33.000
16836,"41,47814","2,06777",2015-04-16 12:05:16.000
16846,"41,47823","2,06686",2015-04-16 12:05:06.000
16869,"41,4778","2,06654",2015-04-16 12:04:56.000
16900,"41,47696","2,06617",2015-04-16 12:04:37.000
16928,"41,47655","2,06598",2015-04-16 12:04:17.000
16954,"41,47655","2,06598",2015-04-16 12:03:56.000
16995,"41,47655","2,06598",2015-04-16 12:03:36.000
17017,"41,47589","2,06564",2015-04-16 12:03:21.000
17029,"41,47578","2,06591",2015-04-16 12:03:15.000
17057,"41,47551","2,06853",2015-04-16 12:02:54.000
17059,"41,47553","2,06859",2015-04-16 12:02:53.000
17086,"41,47686","2,06906",2015-04-16 12:02:35.000
17117,"41,47772","2,06911",2015-04-16 12:02:23.000
17129,"41,47805","2,06859",2015-04-16 12:02:16.000
17133,"41,47814","2,06856",2015-04-16 12:02:15.000
17143,"41,47839","2,06891",2015-04-16 12:02:10.000
17148,"41,47816","2,06922",2015-04-16 12:02:05.000
17167,"41,47791","2,07023",2015-04-16 12:01:55.000
17195,"41,47705","2,07285",2015-04-16 12:01:35.000
17228,"41,47589","2,07518",2015-04-16 12:01:15.000
17258,"41,47463","2,07692",2015-04-16 12:00:55.000
17288,"41,47371","2,07818",2015-04-16 12:00:34.000
17319,"41,47268","2,07961",2015-04-16 12:00:14.000
17364,"41,47237","2,08013",2015-04-16 11:59:54.000
17391,"41,47237","2,08013",2015-04-16 11:59:35.000
17414,"41,47231","2,08027",2015-04-16 11:59:14.000
17452,"41,47192","2,08177",2015-04-16 11:58:54.000
17453,"41,47188","2,08194",2015-04-16 11:58:52.000
17478,"41,47089","2,08226",2015-04-16 11:58:33.000
17505,"41,47011","2,08252",2015-04-16 11:58:14.000
17543,"41,47009","2,08253",2015-04-16 11:57:54.000
17570,"41,46906","2,08324",2015-04-16 11:57:34.000
17592,"41,46838","2,08378",2015-04-16 11:57:20.000
17601,"41,46834","2,08419",2015-04-16 11:57:14.000
17634,"41,46834","2,08419",2015-04-16 11:56:54.000
17668,"41,46834","2,08419",2015-04-16 11:56:34.000
17700,"41,46843","2,08439",2015-04-16 11:56:14.000
17728,"41,46909","2,08588",2015-04-16 11:55:54.000
17772,"41,4691","2,08591",2015-04-16 11:55:34.000
17798,"41,46933","2,08641",2015-04-16 11:55:14.000
17827,"41,46956","2,08686",2015-04-16 11:54:54.000
17866,"41,46984","2,08775",2015-04-16 11:54:34.000
17899,"41,47","2,08976",2015-04-16 11:54:14.000
17912,"41,47016","2,09034",2015-04-16 11:54:07.000
17916,"41,47","2,09065",2015-04-16 11:54:01.000
17927,"41,46981","2,09033",2015-04-16 11:53:55.000
17928,"41,46984","2,09025",2015-04-16 11:53:54.000
17939,"41,47012","2,09024",2015-04-16 11:53:49.000
17975,"41,47063","2,09026",2015-04-16 11:53:34.000
18011,"41,47063","2,09026",2015-04-16 11:53:14.000
18030,"41,47063","2,09026",2015-04-16 11:52:54.000
18070,"41,47063","2,09026",2015-04-16 11:52:34.000
18098,"41,47063","2,09026",2015-04-16 11:52:25.000
